Date,Holiday Name,Information,Applicable To
20170425,Anzac Day,Celebrated on the 25 April each year.,NAT
20170501,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NT
20170501,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",QLD
20170605,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,WA
20170612,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,ACT|NSW|NT|SA|TAS|VIC
20170807,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",NT
20170925,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,WA
20170925,Family & Community Day,A holiday for people to spend with their family and friends.,ACT
20170929,AFL Grand Final,Friday before the AFL Grand Final,VIC
20171002,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",ACT|NSW|SA
20171002,Queen's Birthday,Celebrated on First Monday in October in Queensland.,QLD
20171107,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council,VIC
20171224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,SA
20171225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NAT
20171226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,ACT|TAS|VIC|NSW|QLD|NT|WA
20171226,Proclamation Day,Substitute for Saturday 26 December.  Occurs the day after Christmas Day,SA
20171231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,SA
20170101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NAT
20170102,Additional day,,NAT
20170126,Australia Day,Always celebrated on 26 January,NAT
20170212,Royal Hobart Regatta,,TAS
20170306,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",WA
20170313,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",TAS
20170313,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia≈ês capital which took place on 12 March 1913.",ACT
20170313,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,SA
20170313,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",VIC
20170414,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NAT
20170415,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,ACT|NSW|NT|QLD|SA|VIC
20170416,Easter Sunday,Public Holiday as part of Easter.,ACT|NSW|QLD|VIC
20170417,Easter Monday,Public Holiday as part of Easter.,NAT
20170425,ANZAC Day,Celebrated on the 25 April each year.,NAT
20170501,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NT
20170501,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",QLD
20170605,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,WA
20170612,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,ACT|NSW|NT|SA|TAS|VIC
20170807,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",NT
20170807,Bank Holiday,,NSW
20170925,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,WA
20170925,Family and Community Day,A holiday for people to spend with their family and friends.,ACT
20170929,AFL Grand Final,Friday before the AFL Grand Final,VIC
20171002,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",ACT|NSW|SA
20171002,Queen's Birthday,Celebrated on First Monday in October in Queensland.,QLD
20171106,Recreation Day,,TAS
20171107,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,VIC
20171224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,NT|SA
20171225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NAT
20171226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,ACT|NSW|NT|QLD|TAS|VIC|WA
20171226,Proclamation Day,Occurs the day after Christmas Day.,SA
20171231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,NT|SA
20180101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NAT
20180126,Australia Day,Always celebrated on 26 January,NAT
20180212,Royal Hobart Regatta,,TAS
20180305,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",WA
20180312,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",TAS
20180312,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",ACT
20180312,March public holiday,The Holidays Act 1910 provides for the third Monday in March to be a public holiday.,SA
20180312,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",VIC
20180330,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NAT
20180331,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,ACT|NSW|NT|QLD|SA|VIC
20180401,Easter Sunday,Public Holiday as part of Easter.,ACT|NSW|QLD|VIC
20180402,Easter Monday,Public Holiday as part of Easter.,NAT
20180425,ANZAC Day,Celebrated on the 25 April each year.,NAT
20180507,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NT
20180507,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",QLD
20180528,Reconciliation Day,,ACT
20180604,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,WA
20180611,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,ACT|NSW|NT|SA|TAS|VIC
20180806,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",NT
20180806,Bank Holiday,,NSW
20180924,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,WA
20180928,Friday before the AFL Grand Final,Friday before the AFL Grand Final,VIC
20181001,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",ACT|NSW|SA
20181001,Queen's Birthday,Celebrated on First Monday in October in Queensland.,QLD
20181105,Recreation Day,,TAS
20181106,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,VIC
20181224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,NT|SA
20181225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NAT
20181226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,ACT|NSW|NT|QLD|TAS|VIC|WA
20181226,Proclamation Day,Occurs the day after Christmas Day.,SA
20181231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,NT|SA
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,act
20190128,Australia Day,Always celebrated on 26 January,act
20190311,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia√Ö¬ês capital which took place on 12 March 1913.",act
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,act
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,act
20190421,Easter Sunday,Public Holiday as part of Easter.,act
20190422,Easter Monday,Public Holiday as part of Easter.,act
20190425,Anzac Day,Celebrated on the 25 April each year.,act
20190527,Reconciliation Day,"take place on the first Monday on or after 27 May each year, the anniversary of the 1967 referendum",act
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,act
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",act
20191225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,act
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,act
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,nsw
20190128,Australia Day,Always celebrated on 26 January,nsw
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,nsw
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,nsw
20190421,Easter Sunday,Public Holiday as part of Easter.,nsw
20190422,Easter Monday,Public Holiday as part of Easter.,nsw
20190425,Anzac Day,Celebrated on the 25 April each year.,nsw
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,nsw
20190805,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",nsw
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",nsw
20191225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,nsw
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,nsw
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,nt
20190128,Australia Day,Always celebrated on 26 January,nt
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,nt
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,nt
20190422,Easter Monday,Public Holiday as part of Easter.,nt
20190425,Anzac Day,Celebrated on the 25 April each year.,nt
20190506,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",nt
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,nt
20190805,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",nt
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,nt
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,nt
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,nt
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,nt
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,qld
20190128,Australia Day,Always celebrated on 26 January,qld
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,qld
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,qld
20190421,Easter Sunday,Public Holiday as part of Easter.,qld
20190422,Easter Monday,Public Holiday as part of Easter.,qld
20190425,Anzac Day,Celebrated on the 25 April each year.,qld
20190506,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",qld
20191007,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,qld
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,qld
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,qld
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,sa
20190128,Australia Day,Always celebrated on 26 January,sa
20190311,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,sa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,sa
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,sa
20190422,Easter Monday,Public Holiday as part of Easter.,sa
20190425,Anzac Day,Celebrated on the 25 April each year.,sa
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,sa
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",sa
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,sa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,sa
20191226,Proclamation Day ,Occurs the day after Christmas Day.,sa
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,sa
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,tas
20190128,Australia Day,Always celebrated on 26 January,tas
20190211,Royal Hobart Regatta,A three-day event that runs over the weekend of the second Monday each February.,tas
20190311,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",tas
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,tas
20190422,Easter Monday,Public Holiday as part of Easter.,tas
20190423,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,tas
20190425,Anzac Day,Celebrated on the 25 April each year.,tas
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,tas
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,tas
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,tas
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,vic
20190128,Australia Day,Always celebrated on 26 January,vic
20190311,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",vic
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,vic
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,vic
20190421,Easter Sunday,Public Holiday as part of Easter.,vic
20190422,Easter Monday,Public Holiday as part of Easter.,vic
20190425,Anzac Day,Celebrated on the 25 April each year.,vic
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,vic
20190927,Friday before AFL Grand Final,Friday before the AFL Grand Final,vic
20191105,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,vic
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,vic
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,vic
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,wa
20190128,Australia Day,Always celebrated on 26 January,wa
20190304,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",wa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,wa
20190422,Easter Monday,Public Holiday as part of Easter.,wa
20190425,Anzac Day,Celebrated on the 25 April each year.,wa
20190603,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,wa
20190930,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,wa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,wa
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,wa